,GP  Games played,GS  Games started,MPG  Minutes Per Game,OREB  Offensive Rebounds,DREB  Defensive Rebounds,REB  Total Rebounds,RPG  Rebounds Per Game,AST  Total Assists,APG  Assists Per Game,TO  Turnovers,TOPG  Turnovers Per Game,A/TO  Assists Per Turnover,Player,Position,Team
256,19,19,,,,,,15.0,0.8,18.0,1.0,0.8,Clint Capela,C,ATL
257,22,0,,,,,,18.0,0.8,20.0,0.9,0.9,Hamidou Diallo,SF,DET
258,14,0,,,,,,11.0,0.8,19.0,1.4,0.6,Andre Drummond,C,CHI
259,19,3,,,,,,15.0,0.8,17.0,0.9,0.9,Drew Eubanks,C,POR
260,18,0,,,,,,14.0,0.8,20.0,1.1,0.7,JaMychal Green,C,GS
261,19,1,,,,,,16.0,0.8,13.0,0.7,1.2,Josh Green,SG,DAL
262,20,7,,,,,,16.0,0.8,18.0,0.9,0.9,Isaiah Hartenstein,C,NY
263,19,2,,,,,,15.0,0.8,11.0,0.6,1.4,Danuel House Jr.,SF,PHI
264,16,1,,,,,,13.0,0.8,5.0,0.3,2.6,Caleb Houstan,SG,ORL
265,15,0,,,,,,12.0,0.8,5.0,0.3,2.4,Isaiah Joe,SG,OKC
266,17,2,,,,,,14.0,0.8,22.0,1.3,0.6,Jonathan Kuminga,PF,GS
267,17,0,,,,,,13.0,0.8,12.0,0.7,1.1,Jock Landale,C,PHO
268,16,0,,,,,,12.0,0.8,17.0,1.1,0.7,Trey Lyles,C,SAC
269,19,19,,,,,,15.0,0.8,21.0,1.1,0.7,Jabari Smith,PF,HOU
270,19,5,,,,,,14.0,0.7,15.0,0.8,0.9,Keita Bates-Diop,SF,SA
271,18,0,,,,,,12.0,0.7,11.0,0.6,1.1,Dewayne Dedmon,C,MIA
272,17,2,,,,,,12.0,0.7,13.0,0.8,0.9,Wenyen Gabriel,PF,LAL
273,17,1,,,,,,12.0,0.7,12.0,0.7,1.0,AJ Griffin,SF,ATL
274,21,0,,,,,,15.0,0.7,7.0,0.3,2.1,Sam Hauser,SF,BOS
275,20,0,,,,,,14.0,0.7,9.0,0.5,1.6,Jalen Johnson,SF,ATL
276,20,0,,,,,,13.0,0.7,13.0,0.7,1.0,Walker Kessler,C,UTA
277,15,0,,,,,,10.0,0.7,10.0,0.7,1.0,Chimezie Metu,PF,SAC
278,21,0,,,,,,15.0,0.7,20.0,1.0,0.8,Nick Richards,C,CHA
