,GP  Games played,GS  Games started,MPG  Minutes Per Game,PPG  Points Per Game,FGM  Field Goals Made,FGA  Field Goals Attempted,FG%  Field Goal Percentage,3FGM  Three-Point Field Goals Made,3FGA  Three-Point Field Goals Attempted,3FG%  Three-Point Field Goal Percentage,FTM  Free Throws Made,FTA  Free Throws Attempted,FT%  Free Throw Percentage,OREB  Offensive Rebounds,DREB  Defensive Rebounds,REB  Total Rebounds,RPG  Rebounds Per Game,Player,Position,Team
141,18,8,27.6,,,,,,,,,,,23.0,57.0,80.0,4.4,Trey Murphy III,SF,NO
142,21,21,28.7,,,,,,,,,,,26.0,66.0,92.0,4.4,P.J. Tucker,PF,PHI
143,17,7,18.2,,,,,,,,,,,33.0,41.0,74.0,4.4,Thaddeus Young,PF,TOR
144,19,3,18.2,,,,,,,,,,,32.0,50.0,82.0,4.3,Drew Eubanks,C,POR
145,18,0,16.4,,,,,,,,,,,29.0,49.0,78.0,4.3,JaMychal Green,C,GS
146,16,16,34.1,,,,,,,,,,,11.0,57.0,68.0,4.3,Zach LaVine,SG,CHI
147,19,12,28.1,,,,,,,,,,,21.0,61.0,82.0,4.3,De'Anthony Melton,SG,PHI
148,15,7,24.5,,,,,,,,,,,9.0,56.0,65.0,4.3,Dean Wade,PF,CLE
149,20,20,34.9,,,,,,,,,,,9.0,74.0,83.0,4.2,DeMar DeRozan,SF,CHI
150,20,20,34.2,,,,,,,,,,,11.0,73.0,84.0,4.2,Jalen Green,SG,HOU
151,20,20,32.1,,,,,,,,,,,14.0,70.0,84.0,4.2,De'Andre Hunter,SF,ATL
152,18,7,21.8,,,,,,,,,,,21.0,55.0,76.0,4.2,Chuma Okeke,PF,ORL
153,19,19,33.5,,,,,,,,,,,24.0,53.0,77.0,4.1,Dorian Finney-Smith,SF,DAL
154,20,0,28.1,,,,,,,,,,,27.0,54.0,81.0,4.1,Bennedict Mathurin,SG,IND
155,18,0,12.2,,,,,,,,,,,24.0,50.0,74.0,4.1,Paul Reed,SF,PHI
156,20,20,24.9,,,,,,,,,,,26.0,55.0,81.0,4.1,Jeremy Sochan,PF,SA
157,21,21,33.3,,,,,,,,,,,19.0,68.0,87.0,4.1,Franz Wagner,G,ORL
158,20,20,25.8,,,,,,,,,,,22.0,59.0,81.0,4.1,Patrick Williams,PF,CHI
159,21,1,18.5,,,,,,,,,,,15.0,70.0,85.0,4.0,Nicolas Batum,PF,LAC
160,16,0,15.7,,,,,,,,,,,19.0,45.0,64.0,4.0,Darius Bazley,PF,OKC
161,23,2,26.7,,,,,,,,,,,15.0,77.0,92.0,4.0,Malik Beasley,SG,UTA
162,21,21,32.1,,,,,,,,,,,12.0,71.0,83.0,4.0,Bojan Bogdanovic,SF,DET
163,23,23,32.0,,,,,,,,,,,28.0,64.0,92.0,4.0,Jordan Clarkson,PG,UTA
164,19,19,36.9,,,,,,,,,,,16.0,60.0,76.0,4.0,Donovan Mitchell,SG,CLE
165,16,14,32.2,,,,,,,,,,,2.0,62.0,64.0,4.0,Devin Vassell,SG,SA
166,14,14,27.4,,,,,,,,,,,9.0,46.0,55.0,3.9,Patrick Beverley,PG,LAL
167,17,0,22.7,,,,,,,,,,,15.0,52.0,67.0,3.9,Malcolm Brogdon,PG,BOS
168,16,0,13.6,,,,,,,,,,,21.0,42.0,63.0,3.9,Luke Kornet,C,BOS
169,16,2,20.5,,,,,,,,,,,11.0,50.0,61.0,3.8,Kyle Anderson,SF,MIN
170,17,15,28.8,,,,,,,,,,,14.0,51.0,65.0,3.8,Keegan Murray,PF,SAC
171,16,16,29.4,,,,,,,,,,,9.0,51.0,60.0,3.8,Jamal Murray,PG,DEN
172,20,0,17.7,,,,,,,,,,,14.0,62.0,76.0,3.8,Obi Toppin,PF,NY
173,15,5,20.7,,,,,,,,,,,13.0,44.0,57.0,3.8,Aaron Wiggins,SF,OKC
174,19,3,20.5,,,,,,,,,,,31.0,41.0,72.0,3.8,Kenrich Williams,SG,OKC
175,15,0,24.9,,,,,,,,,,,13.0,43.0,56.0,3.7,Maxi Kleber,PF,DAL
176,18,18,26.9,,,,,,,,,,,8.0,58.0,66.0,3.7,Monte Morris,PG,WAS
177,19,1,18.4,,,,,,,,,,,15.0,55.0,70.0,3.7,Jordan Nwora,SG,MIL
178,19,12,34.0,,,,,,,,,,,11.0,60.0,71.0,3.7,Max Strus,SG,MIA
179,15,15,36.6,,,,,,,,,,,11.0,44.0,55.0,3.7,Bradley Beal,SG,WAS
180,16,16,28.6,,,,,,,,,,,20.0,39.0,59.0,3.7,Herbert Jones,SG,NO
181,16,2,12.7,,,,,,,,,,,15.0,42.0,57.0,3.6,Bismack Biyombo,C,PHO
182,17,17,30.6,,,,,,,,,,,14.0,47.0,61.0,3.6,Dillon Brooks,SF,MEM
183,20,20,33.2,,,,,,,,,,,9.0,63.0,72.0,3.6,Jalen Brunson,PG,NY
184,17,2,13.9,,,,,,,,,,,18.0,43.0,61.0,3.6,Wenyen Gabriel,PF,LAL
185,21,0,12.6,,,,,,,,,,,27.0,48.0,75.0,3.6,Daniel Gafford,C,WAS
186,17,0,13.6,,,,,,,,,,,25.0,37.0,62.0,3.6,Jock Landale,C,PHO
187,17,6,22.8,,,,,,,,,,,16.0,45.0,61.0,3.6,Shake Milton,SG,PHI
188,19,19,29.1,,,,,,,,,,,10.0,56.0,66.0,3.5,Ayo Dosunmu,PG,CHI
189,20,9,16.5,,,,,,,,,,,35.0,34.0,69.0,3.5,Christian Koloko,C,TOR
