,GP  Games played,GS  Games started,STL  Total Steals,SPG  Steals Per Game,BLK  Total Blocks,BPG  Blocks Per Game,Player,Position,Team
223,17,0,,,4.0,0.24,John Wall,PG,LAC
224,22,10,,,5.0,0.23,Terance Mann,SF,LAC
225,23,0,,,5.0,0.22,Hamidou Diallo,SF,DET
226,18,18,,,4.0,0.22,Monte Morris,PG,WAS
227,18,0,,,4.0,0.22,Taurean Prince,PF,MIN
228,18,8,,,4.0,0.22,Terrence Ross,SG,ORL
229,18,0,,,4.0,0.22,R.J. Hampton,PG,ORL
230,18,10,,,4.0,0.22,Cameron Payne,PG,PHO
231,19,17,,,4.0,0.21,Saddiq Bey,SF,DET
232,19,0,,,4.0,0.21,James Bouknight,SG,CHA
233,19,0,,,4.0,0.21,Goran Dragic,PG,CHI
234,19,1,,,4.0,0.21,Theo Maledon,PG,CHA
235,19,0,,,4.0,0.21,Malik Monk,SG,SAC
236,19,19,,,4.0,0.21,Anfernee Simons,SG,POR
237,19,3,,,4.0,0.21,Kenrich Williams,SG,OKC
238,20,5,,,4.0,0.2,Jose Alvarado,PG,NO
239,20,20,,,4.0,0.2,Stephen Curry,PG,GS
240,15,6,,,3.0,0.2,Andrew Nembhard,PG,IND
241,16,3,,,3.0,0.19,Jeff Green,PF,DEN
242,16,0,,,3.0,0.19,Jake LaRavia,SF,MEM
243,16,1,,,3.0,0.19,Kevin Love,PF,CLE
244,16,16,,,3.0,0.19,Jamal Murray,PG,DEN
245,21,21,,,4.0,0.19,Julius Randle,PF,NY
246,17,6,,,3.0,0.18,Shake Milton,SG,PHI
247,17,16,,,3.0,0.18,Gary Trent Jr.,SG,TOR
248,23,2,,,4.0,0.17,Malik Beasley,SG,UTA
249,18,1,,,3.0,0.17,Terence Davis,SF,SAC
250,18,0,,,3.0,0.17,Daishen Nix,PG,HOU
251,19,19,,,3.0,0.16,Harrison Barnes,PF,SAC
252,19,5,,,3.0,0.16,Keita Bates-Diop,SF,SA
253,19,0,,,3.0,0.16,Christian Braun,SG,DEN
254,19,2,,,3.0,0.16,Tim Hardaway Jr.,SG,DAL
255,19,0,,,3.0,0.16,George Hill,PG,MIL
256,19,1,,,3.0,0.16,Aaron Holiday,PG,ATL
257,19,4,,,3.0,0.16,Naji Marshall,SF,NO
258,19,0,,,3.0,0.16,Doug McDermott,SF,SA
259,19,1,,,3.0,0.16,Jordan Nwora,SG,MIL
260,20,20,,,3.0,0.15,Spencer Dinwiddie,PG,DAL
261,20,20,,,3.0,0.15,De'Andre Hunter,SF,ATL
262,20,20,,,3.0,0.15,Tre Jones,PG,SA
263,20,20,,,3.0,0.15,Trae Young,PG,ATL
264,21,21,,,3.0,0.14,Jalen Brunson,PG,NY
265,21,21,,,3.0,0.14,Josh Hart,SF,POR
266,22,22,,,3.0,0.14,Reggie Jackson,PG,LAC
