,GP  Games played,GS  Games started,BLK  Total Blocks,BPG  Blocks Per Game,MPG  Minutes Per Game,PF  Total Personal Fouls,PFG  Personal Fouls Per Game,FLG  Flagrant Fouls,TF  Technical Fouls,EJ  Ejections,DSQ  Disqualifications,Player,Position,Team
252,19,5,,,20.3,31.0,1.6,0.0,1.0,0.0,0.0,Shaedon Sharpe,SG,POR
253,19,4,,,20.2,23.0,1.2,0.0,3.0,0.0,0.0,Naji Marshall,SF,NO
254,13,7,,,20.0,28.0,2.2,0.0,1.0,0.0,1.0,Evan Fournier,SG,NY
255,16,3,,,20.0,33.0,2.1,0.0,1.0,0.0,0.0,Jeff Green,PF,DEN
256,20,5,,,20.0,41.0,2.1,2.0,0.0,0.0,0.0,Isaiah Livers,SF,DET
257,2,0,,,20.0,5.0,2.5,0.0,0.0,0.0,0.0,Orlando Robinson,C,MIA
258,12,0,,,19.8,19.0,1.6,0.0,0.0,0.0,0.0,Coby White,PG,CHI
259,9,5,,,19.7,16.0,1.8,0.0,1.0,0.0,0.0,Chris Duarte,SF,IND
260,21,0,,,19.7,47.0,2.2,1.0,1.0,0.0,0.0,Georges Niang,PF,PHI
261,21,0,,,19.7,46.0,2.2,0.0,2.0,0.0,0.0,Nick Richards,C,CHA
262,18,0,,,19.6,43.0,2.4,1.0,1.0,0.0,0.0,Taurean Prince,PF,MIN
263,21,4,,,19.3,47.0,2.2,0.0,0.0,0.0,0.0,Isaac Okoro,SG,CLE
264,20,1,,,19.1,44.0,2.2,0.0,0.0,0.0,0.0,Brandon Clarke,PF,MEM
265,19,1,,,19.1,47.0,2.5,0.0,1.0,0.0,1.0,Josh Green,SG,DAL
266,19,1,,,19.1,29.0,1.5,0.0,0.0,0.0,0.0,Davion Mitchell,PG,SAC
267,10,2,,,18.8,16.0,1.6,0.0,0.0,0.0,0.0,Romeo Langford,SG,SA
268,19,5,,,18.7,42.0,2.2,0.0,1.0,0.0,0.0,Mo Bamba,C,ORL
269,16,1,,,18.6,27.0,1.7,0.0,0.0,0.0,0.0,Caleb Houstan,SG,ORL
270,21,1,,,18.5,44.0,2.1,0.0,0.0,0.0,1.0,Nicolas Batum,PF,LAC
271,20,0,,,18.4,43.0,2.2,0.0,1.0,0.0,0.0,Tari Eason,F,HOU
272,16,0,,,18.4,33.0,2.1,0.0,0.0,0.0,0.0,Jake LaRavia,SF,MEM
273,13,2,,,18.4,31.0,2.4,0.0,0.0,0.0,0.0,Anthony Lamb,SF,GS
274,19,1,,,18.4,20.0,1.1,0.0,0.0,0.0,0.0,Jordan Nwora,SG,MIL
275,8,2,,,18.3,7.0,0.9,0.0,0.0,0.0,0.0,Otto Porter Jr.,SF,TOR
276,19,3,,,18.2,36.0,1.9,1.0,1.0,0.0,0.0,Drew Eubanks,C,POR
277,14,0,,,18.2,16.0,1.1,0.0,0.0,0.0,0.0,Yuta Watanabe,SF,BKN
278,17,7,,,18.2,29.0,1.7,0.0,0.0,0.0,0.0,Thaddeus Young,PF,TOR
