,GP  Games played,GS  Games started,MPG  Minutes Per Game,PPG  Points Per Game,FGM  Field Goals Made,FGA  Field Goals Attempted,FG%  Field Goal Percentage,3FGM  Three-Point Field Goals Made,3FGA  Three-Point Field Goals Attempted,3FG%  Three-Point Field Goal Percentage,FTM  Free Throws Made,FTA  Free Throws Attempted,FT%  Free Throw Percentage,Player,Position,Team
19,15,15,36.4,22.9,126,273,46.2,43,102,42.2,48,65,73.8,Tyrese Maxey,PG,PHI
20,21,21,36.4,22.6,172,376,45.7,55,159,34.6,75,100,75.0,Anthony Edwards,SG,MIN
21,15,15,31.3,22.5,133,230,57.8,3,9,33.3,68,96,70.8,Zion Williamson,PF,NO
22,23,23,33.7,22.2,188,356,52.8,56,145,38.6,78,96,81.3,Lauri Markkanen,SF,UTA
23,20,20,36.5,22.0,143,300,47.7,58,121,47.9,96,126,76.2,Jerami Grant,PF,POR
24,20,20,34.2,21.6,147,345,42.6,54,153,35.3,84,105,80.0,Jalen Green,SG,HOU
25,21,21,32.4,21.5,161,325,49.5,30,89,33.7,100,111,90.1,Jalen Brunson,PG,NY
26,20,20,32.0,21.4,145,308,47.1,45,120,37.5,92,113,81.4,Kristaps Porzingis,C,WAS
27,21,21,33.0,21.3,152,322,47.2,46,134,34.3,97,127,76.4,Julius Randle,PF,NY
28,16,16,34.1,20.9,116,287,40.4,47,132,35.6,56,68,82.4,Zach LaVine,SG,CHI
29,15,15,32.1,20.8,109,231,47.2,28,60,46.7,66,76,86.8,Brandon Ingram,SF,NO
30,21,21,33.8,20.8,153,303,50.5,38,117,32.5,92,104,88.5,Karl-Anthony Towns,PF,MIN
31,21,21,36.8,20.6,171,388,44.1,43,125,34.4,47,53,88.7,Dejounte Murray,PG,ATL
32,19,19,34.6,20.5,151,285,53.0,0,8,0.0,88,102,86.3,Bam Adebayo,C,MIA
33,19,19,31.9,20.4,134,332,40.4,58,159,36.5,61,81,75.3,Keldon Johnson,SF,SA
34,20,20,34.4,20.4,154,332,46.4,46,147,31.3,54,74,73.0,Kyle Kuzma,PF,WAS
35,16,14,32.2,20.4,121,263,46.0,49,117,41.9,35,45,77.8,Devin Vassell,SG,SA
36,22,22,31.5,20.3,151,303,49.8,50,126,39.7,94,108,87.0,Bojan Bogdanovic,SF,DET
37,20,20,33.8,19.9,146,307,47.6,54,142,38.0,51,60,85.0,Tyrese Haliburton,PG,IND
38,21,21,31.4,19.7,157,360,43.6,48,155,31.0,51,71,71.8,Kelly Oubre Jr.,SG,CHA
39,21,21,33.3,19.5,153,306,50.0,26,82,31.7,78,91,85.7,Franz Wagner,G,ORL
40,20,0,28.1,19.1,119,271,43.9,48,115,41.7,95,118,80.5,Bennedict Mathurin,SG,IND
41,20,20,36.6,19.0,143,303,47.2,34,97,35.1,60,71,84.5,OG Anunoby,SF,TOR
42,23,23,32.0,19.0,159,372,42.7,63,179,35.2,55,65,84.6,Jordan Clarkson,PG,UTA
43,17,17,35.1,18.7,125,305,41.0,41,120,34.2,27,34,79.4,CJ McCollum,PG,NO
44,19,19,34.6,18.7,123,296,41.6,37,109,33.9,73,100,73.0,Kevin Porter,PG,HOU
45,14,14,37.3,18.6,83,219,37.9,45,119,37.8,50,58,86.2,Fred VanVleet,PG,TOR
46,20,20,32.9,18.6,144,290,49.7,57,133,42.9,27,39,69.2,Andrew Wiggins,SF,GS
47,21,21,34.2,18.4,136,341,39.9,32,117,27.4,83,108,76.9,R.J. Barrett,SF,NY
48,15,15,29.1,18.0,92,169,54.4,23,58,39.7,63,76,82.9,Myles Turner,C,IND
49,17,17,30.6,17.6,113,278,40.6,38,110,34.5,35,47,74.5,Dillon Brooks,SF,MEM
50,15,14,31.7,17.5,100,229,43.7,29,90,32.2,33,38,86.8,Jrue Holiday,PG,MIL
51,16,16,29.4,17.3,108,248,43.5,29,81,35.8,32,41,78.0,Jamal Murray,PG,DEN
52,20,20,31.5,17.2,120,286,42.0,71,193,36.8,32,36,88.9,Buddy Hield,SG,IND
53,20,20,32.0,17.0,125,263,47.5,54,135,40.0,35,42,83.3,Spencer Dinwiddie,PG,DAL
54,18,18,29.7,17.0,109,272,40.1,67,171,39.2,21,26,80.8,Klay Thompson,SG,GS
55,19,19,33.9,16.9,127,263,48.3,37,101,36.6,30,37,81.1,Tobias Harris,PF,PHI
